"number","description","recipe_name","recipe_cuisine_name"
1,"Hollow out a medium-sized pumpkin, removing seeds and fibers.","Ghapama","Armenian"
2,"In a bowl, mix cooked rice with chopped dried fruits (apricots, prunes, raisins), nuts (almonds, walnuts), and honey.","Ghapama","Armenian"
3,"Fill the pumpkin with the rice mixture and place a lid cut from the top.","Ghapama","Armenian"
4,"Bake in a preheated oven at 375°F (190°C) until the pumpkin is tender and the filling is heated through.","Ghapama","Armenian"
5,"Serve hot, cutting the pumpkin into wedges to expose the sweet, fragrant stuffing.","Ghapama","Armenian"
1,"Cook chicken in water with salt until tender and the meat falls off the bones.","Harissa","Armenian"
2,"Remove the chicken, debone, and shred the meat.","Harissa","Armenian"
3,"Add washed khorasan wheat to the chicken broth and cook until the wheat is soft and begins to break down.","Harissa","Armenian"
4,"Add the shredded chicken back to the pot, continue to cook, stirring frequently, until the mixture becomes porridge-like.","Harissa","Armenian"
5,"Serve hot, topped with melted butter and a sprinkle of cinnamon.","Harissa","Armenian"
1,"Prepare the dough from flour, yeast, warm water, and salt, and let it rise until doubled in size.","Lahmajoun","Armenian"
2,"Mix finely ground lamb or beef with finely diced tomatoes, bell peppers, onion, parsley, and spices.","Lahmajoun","Armenian"
3,"Roll the dough into very thin circles, spread the meat mixture thinly on top.","Lahmajoun","Armenian"
4,"Bake in a very hot oven for about 5 minutes until the edges are crisp and the topping is cooked.","Lahmajoun","Armenian"
5,"Serve hot with a squeeze of lemon and fresh parsley.","Lahmajoun","Armenian"
1,"Blanch broccoli florets in boiling water for 2 minutes, then drain.","Beef and Broccoli","Chinese"
2,"Marinate beef slices in a mixture of soy sauce, cornstarch, and a little oil.","Beef and Broccoli","Chinese"
3,"Heat oil in a wok, add minced garlic, and stir-fry briefly until fragrant.","Beef and Broccoli","Chinese"
4,"Add the marinated beef and stir-fry until it starts to brown.","Beef and Broccoli","Chinese"
5,"Add broccoli and stir-fry for another 2 minutes.","Beef and Broccoli","Chinese"
6,"Pour in a mixture of beef stock, oyster sauce, and a splash of soy sauce, and cook until the sauce thickens.","Beef and Broccoli","Chinese"
7,"Serve hot.","Beef and Broccoli","Chinese"
1,"Bring chicken broth to a simmer in a pot.","Egg Drop Soup","Chinese"
2,"Season the broth with soy sauce, salt, and white pepper.","Egg Drop Soup","Chinese"
3,"Slowly pour beaten eggs into the simmering broth, stirring gently to form ribbons.","Egg Drop Soup","Chinese"
4,"Garnish with chopped green onions and a few drops of sesame oil.","Egg Drop Soup","Chinese"
5,"Serve hot.","Egg Drop Soup","Chinese"
1,"Marinate chicken pieces in soy sauce and cornstarch.","Kung Pao Chicken","Chinese"
2,"Heat oil in a wok and fry dried chilies until just beginning to blacken.","Kung Pao Chicken","Chinese"
3,"Add chicken to the wok and stir-fry until it turns white.","Kung Pao Chicken","Chinese"
4,"Add chopped bell peppers and scallions, stir-fry for a few minutes.","Kung Pao Chicken","Chinese"
5,"Pour in the sauce mixture of soy sauce, vinegar, sugar, and water, and cook until thickened.","Kung Pao Chicken","Chinese"
6,"Stir in roasted peanuts and serve.","Kung Pao Chicken","Chinese"
